Dates,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m
02 Jan 07,5.069502,5.118073,5.153705,5.179331,5.196118,5.205546,5.209210,5.208592,5.204932,5.199295,5.192511,5.185142,5.177592,5.170123,5.162854,5.155820,5.149036,5.142500,5.136205,5.130136,5.124272,5.118589,5.113061,5.107666,5.102384,5.097199,5.092094,5.087057,5.082076,5.077141,5.072242,5.067372,5.062522,5.057685,5.052856,5.048029,5.043200,5.038364,5.033519,5.028662,5.023790,5.018901,5.013993,5.009066,5.004118,4.999147,4.994154,4.989138,4.984098,4.979034,4.973947,4.968837,4.963704,4.958550,4.953374,4.948178,4.942963,4.937731,4.932482,4.927218
03 Jan 07,5.068146,5.114719,5.151942,5.179164,5.197178,5.207509,5.211891,5.211923,5.208893,5.203883,5.197720,5.190957,5.183980,5.177034,5.170227,5.163593,5.157144,5.150884,5.144808,5.138904,5.133158,5.127552,5.122067,5.116685,5.111392,5.106177,5.101029,5.095938,5.090898,5.085901,5.080941,5.076013,5.071110,5.066228,5.061364,5.056513,5.051673,5.046841,5.042015,5.037193,5.032374,5.027555,5.022736,5.017916,5.013093,5.008267,5.003438,4.998604,4.993765,4.988920,4.984070,4.979214,4.974352,4.969483,4.964609,4.959729,4.954843,4.949952,4.945055,4.940154
04 Jan 07,5.069623,5.118009,5.157232,5.186412,5.206049,5.217564,5.222651,5.222884,5.219591,5.213941,5.206860,5.198994,5.190806,5.182603,5.174533,5.166659,5.159014,5.151615,5.144462,5.137551,5.130865,5.124385,5.118089,5.111957,5.105970,5.100113,5.094372,5.088735,5.083189,5.077725,5.072334,5.067006,5.061735,5.056513,5.051333,5.046190,5.041079,5.035996,5.030936,5.025898,5.020876,5.015870,5.010876,5.005893,5.000918,4.995949,4.990986,4.986027,4.981071,4.976116,4.971162,4.966208,4.961253,4.956298,4.951341,4.946382,4.941421,4.936459,4.931495,4.926529
05 Jan 07,5.078788,5.126552,5.159156,5.182635,5.199072,5.209829,5.216003,5.218405,5.217795,5.214947,5.210539,5.205109,5.199078,5.192739,5.186261,5.179739,5.173238,5.166799,5.160449,5.154202,5.148066,5.142038,5.136114,5.130288,5.124555,5.118909,5.113344,5.107856,5.102438,5.097085,5.091791,5.086553,5.081364,5.076220,5.071116,5.066049,5.061014,5.056009,5.051031,5.046077,5.041144,5.036231,5.031335,5.026454,5.021587,5.016732,5.011886,5.007050,5.002221,4.997399,4.992581,4.987769,4.982959,4.978153,4.973349,4.968547,4.963746,4.958946,4.954147,4.949348
08 Jan 07,5.083887,5.134940,5.168310,5.192715,5.210272,5.222179,5.229340,5.232415,5.232126,5.229277,5.224607,5.218716,5.212084,5.205050,5.197818,5.190512,5.183216,5.175986,5.168859,5.161856,5.154988,5.148254,5.141652,5.135175,5.128819,5.122577,5.116442,5.110407,5.104466,5.098613,5.092840,5.087142,5.081512,5.075944,5.070433,5.064975,5.059564,5.054196,5.048868,5.043576,5.038317,5.033089,5.027888,5.022712,5.017558,5.012425,5.007311,5.002213,4.997131,4.992061,4.987004,4.981957,4.976921,4.971893,4.966872,4.961859,4.956852,4.951852,4.946856,4.941867
09 Jan 07,5.097852,5.153549,5.186561,5.209915,5.226335,5.237189,5.243439,5.245763,5.244891,5.241622,5.236680,5.230639,5.223951,5.216929,5.209754,5.202538,5.195354,5.188249,5.181256,5.174390,5.167659,5.161062,5.154593,5.148246,5.142014,5.135890,5.129868,5.123941,5.118101,5.112343,5.106660,5.101045,5.095493,5.089997,5.084553,5.079156,5.073801,5.068484,5.063202,5.057952,5.052730,5.047534,5.042362,5.037210,5.032076,5.026960,5.021858,5.016769,5.011692,5.006625,5.001567,4.996516,4.991472,4.986434,4.981402,4.976373,4.971349,4.966328,4.961310,4.956295
10 Jan 07,5.110504,5.162472,5.193576,5.215208,5.230523,5.240952,5.247311,5.249999,5.249550,5.246656,5.241993,5.236126,5.229521,5.222507,5.215286,5.207985,5.200690,5.193458,5.186327,5.179321,5.172449,5.165714,5.159112,5.152639,5.146290,5.140057,5.133936,5.127918,5.121997,5.116166,5.110419,5.104749,5.099150,5.093616,5.088140,5.082718,5.077346,5.072018,5.066731,5.061482,5.056267,5.051083,5.045927,5.040796,5.035689,5.030602,5.025534,5.020483,5.015447,5.010425,5.005414,5.000414,4.995423,4.990441,4.985466,4.980498,4.975535,4.970578,4.965626,4.960679
11 Jan 07,5.114707,5.170494,5.216225,5.252960,5.281080,5.301701,5.316160,5.325635,5.331138,5.333590,5.333759,5.332218,5.329417,5.325688,5.321259,5.316291,5.310904,5.305192,5.299228,5.293070,5.286763,5.280344,5.273842,5.267281,5.260681,5.254056,5.247419,5.240780,5.234147,5.227525,5.220920,5.214333,5.207769,5.201227,5.194710,5.188217,5.181749,5.175306,5.168888,5.162496,5.156128,5.149785,5.143465,5.137169,5.130895,5.124643,5.118413,5.112204,5.106014,5.099845,5.093694,5.087561,5.081447,5.075350,5.069270,5.063207,5.057160,5.051130,5.045116,5.039119
12 Jan 07,5.307798,5.345393,5.375490,5.399854,5.418610,5.432166,5.440896,5.444923,5.444802,5.441417,5.435655,5.428247,5.419785,5.410703,5.401281,5.391704,5.382100,5.372559,5.363139,5.353879,5.344800,5.335910,5.327208,5.318694,5.310362,5.302206,5.294218,5.286389,5.278711,5.271175,5.263772,5.256494,5.249333,5.242280,5.235327,5.228467,5.221694,5.215002,5.208384,5.201837,5.195354,5.188933,5.182567,5.176254,5.169991,5.163772,5.157597,5.151461,5.145362,5.139297,5.133265,5.127263,5.121290,5.115343,5.109421,5.103523,5.097648,5.091794,5.085961,5.080147
15 Jan 07,5.320635,5.356575,5.384652,5.407606,5.425263,5.437862,5.445690,5.448843,5.447884,5.443710,5.437221,5.429146,5.420071,5.410422,5.400469,5.390394,5.380320,5.370333,5.360492,5.350832,5.341372,5.332121,5.323077,5.314240,5.305603,5.297159,5.288900,5.280818,5.272902,5.265145,5.257536,5.250067,5.242729,5.235513,5.228410,5.221413,5.214515,5.207710,5.200990,5.194351,5.187787,5.181294,5.174866,5.168499,5.162189,5.155932,5.149726,5.143566,5.137449,5.131374,5.125336,5.119334,5.113365,5.107428,5.101521,5.095641,5.089788,5.083960,5.078157,5.072376
